iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniciativasOriginadas,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,idComissao,nomeComissao,competenteComissao,resultado,descricao,reuniao,tipoReuniao,PS,PSD,BE,PCP,CDS-PP,PAN,PEV,CH,Cristina Rodrigues (Ninsc),Joacine Katar Moreira (Ninsc),IL,data,iniAnexos,unanime,iniTextoSubstCampo,iniObs,L,publicacao,ausencias,peticoes,iniciativasOrigem,ano,leg
1,85499,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Constituição de uma Comissão Eventual de Verificação de Poderes dos Deputados eleitos,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a55775a444668595745744d7a4d304e7930304d4749344c546b334f5755744e5745784d6a677a5a544d795a57597a4c6d527659773d3d&fich=350d1aaa-3347-40b8-979e-5a1283e32ef3.doc&Inline=true,,"
      ","
      ","
      ",43943,PS,Votação Deliberação,G,Grupos Parlamentares,PS,,,,Aprovado,,1,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-10-25,,unanime,,,A Favor,,,,,2019,l14
1,85330,I,D,Projeto de Deliberação,XIV,1,2019-10-25,2020-09-14,Elenco e composição das comissões parlamentares permanentes,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474d775a446b795a54677459575130597930305a6d526d4c574a694e324d744e6a686c596d45795a446b314e5751344c6d527659773d3d&fich=4c0d92e8-ad4c-4fdf-bb7c-68eba2d955d8.doc&Inline=true,,"
      ","
      ","
      ",44008,,Votação Deliberação,R,PAR,PAR,,,,Aprovado,,4,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-06,,unanime,,,A Favor,,,,,2019,l14
23,85392,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda a localização da futura unidade de neonatologia e de cuidados na gravidez e no parto de Coimbra nos terrenos adjacentes ao Hospital dos Covões,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e4455784d44637a4d4755744e6d517a4e43303059544d314c546c6d4d545974596d526d5a54466a4e5467354e446b324c6d527659773d3d&fich=4510730e-6d34-4a35-9f16-bdfe1c589496.doc&Inline=true,,"
      ","
      ","
      ",44004,BE,Votação na generalidade,G,Grupos Parlamentares,BE,,,,Rejeitado,,7,RP,Abstenção,Abstenção,A Favor,A Favor,Abstenção,Abstenção,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
47,85380,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo que garanta as condições para a efetiva possibilidade de realização de sesta a partir dos três anos na Educação Pré-Escolar da rede pública do Ministério da Educação,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d5759334e4456695a6a49745932566b595330305a6a45784c5467784d5749745a6a426a4e57566d5a6d56694d4755334c6d527659773d3d&fich=1f745bf2-ceda-4f11-811b-f0c5effeb0e7.doc&Inline=true,,"
      ","
      ","
      ",44053,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,Contra,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
48,85394,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda a construção de uma nova maternidade em Coimbra que abarque o número de partos das atuais maternidades e seja situada junto ao Hospital Geral dos Covões,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5467314f4456694e5463744e6d49304d6930305a446c6d4c546b315a546b744d546c6d4e5451304d545534597a55314c6d527659773d3d&fich=58585b57-6b42-4d9f-95e9-19f544158c55.doc&Inline=true,,"
      ","
      ","
      ",44055,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,,,,Rejeitado,,7,RP,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
49,85388,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Recuperação, acompanhamento e monitorização da valorização da Mata Nacional de Leiria",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a5467344f4759324d574974597a4a6a5a433030597a59774c5468684f444d744e6a466d4e4455354d4759794d47497a4c6d527659773d3d&fich=e888f61b-c2cd-4c60-8a83-61f4590f20b3.doc&Inline=true,,"
      ","
      ","
      ",44056,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7384,Comissão de Agricultura e Mar,S,Aprovado,,7,RP,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,Contra,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
50,85384,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo o reforço das medidas de apoio aos doentes com doença inflamatória do intestino,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e475a684f5449774d6a6b744e7a566b4d533030596a55324c5746684e6a63744d6a5a6d4d7a566a4f44686b4f54686b4c6d527659773d3d&fich=4fa92029-75d1-4b56-aa67-26f35c88d98d.doc&Inline=true,,"
      ","
      ","
      ",44057,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7424,Comissão de Saúde,N,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
63,85390,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Reforça o subsídio de doença para a tuberculose, doença oncológica e doença crónica (6.ª alteração do Decreto-Lei n.º 28/2004, de 4 de fevereiro)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d54526b5a474e6d4f5441744e4445314f5330305a4445304c54686a4f5455744d3245314e6a6c6b4d5441315a575a6b4c6d527659773d3d&fich=14ddcf90-4159-4d14-8c95-3a569d105efd.doc&Inline=true,,"
      ","
      ","
      ",44059,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7444,Comissão de Trabalho e Segurança Social,S,Rejeitado,,7,RP,Contra,Contra,A Favor,A Favor,Contra,Contra,A Favor,A Favor,,,Contra,2019-11-15,"
      ",,,,A Favor,,,"
      ",,2019,l14
62,85379,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Garante o direito das crianças até 3 anos a serem acompanhadas pelos progenitores,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d4d33596d5a694e6a6b745a445177597930305a44646d4c54686d5a6a41744e6a4e6d4e7a4d324e5445334d6a6b304c6d527659773d3d&fich=6c7bfb69-d40c-4d7f-8ff0-63f736517294.doc&Inline=true,,"
      ","
      ","
      ",44058,PCP,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,PCP,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo PCP solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 62/XIV/1.ª (PCP)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,,,A Favor,,,"
      ",,2019,l14
60,85378,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Cria a dispensa para acompanhamento a filhos até aos três anos, procedendo à 16.ª alteração à Lei n.º 7/2009 de 12 de fevereiro",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a5455325a5751354f4455745a6d55794d6930304d7a677a4c5467354e4755744e6a45304f5463304e57457a4d6d55784c6d527659773d3d&fich=e56ed985-fe22-4383-894e-6149745a32e1.doc&Inline=true,,"
      ","
      ","
      ",44051,BE,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,BE,7444,Comissão de Trabalho e Segurança Social,S,Aprovado,"Requerimento, apresentado pelo BE solicitando a baixa à Comissão de Trabalho e Segurança Social, sem votação, por 60 dias, do Projeto de Lei n.º 60/XIV/1.ª (BE)",7,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,,,A Favor,2019-11-15,"
      ",unanime,,,A Favor,,,"
      ",,2019,l14
22,85381,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo que adote medidas que permitam melhorar as condições de vida e o acesso aos cuidados de saúde por parte de pessoas com doença inflamatória do intestino,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d4455334f546c6d596a63744e7a526a5a533030596a67314c546733595467745a6a51784f5745774e5449324f5749794c6d527659773d3d&fich=05799fb7-74ce-4b85-87a8-f419a05269b2.doc&Inline=true,,"
      ","
      ","
      ",44003,BE,Votação na generalidade,G,Grupos Parlamentares,BE,4532,Comissão de Saúde,N,Aprovado,,7,RP,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,,,Abstenção,2019-11-15,,,,,A Favor,,,"
      ",,2019,l14
