iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,iniTextoSubstCampo,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,resultado,reuniao,tipoReuniao,PSD,CH,IL,BE,PS,L,PCP,PAN,data,descricao,iniAnexos,idComissao,nomeComissao,competenteComissao,unanime,ausencias,António Maló De Abreu (Ninsc),peticoes,iniObs,publicacao,iniciativasOrigem,ano,leg
19,92819,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Alarga o acesso à tarifa regulada de eletricidade e elimina o seu carácter transitório ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338334d7a41314e44686c4e5330325a4759334c5451324e6a6774596a677a4d6930794e3252684e324e6d4e544a694e6a41755a47396a&fich=730548e5-6df7-4668-b832-27da7cf52b60.doc&Inline=true,,,,121352,PCP,,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,9,RP,Contra,Abstenção,Contra,A Favor,Contra,A Favor,A Favor,A Favor,2022-04-22,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
2,92878,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,A Favor,Abstenção,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,2022-04-22,"N.º 4 do artigo 58.º da Lei de Enquadramento Orçamental, constante do artigo 2.º",,,,,,,,,,,,2022,l15
26,92829,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo a apresentação de um verdadeiro Programa de Estabilidade incluindo uma estratégia de regresso de Portugal à convergência com os países europeus,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338315a574d774e475979597930784f44426a4c5451324e7a4d74596d4a684e6931694e6d49314d44526d4e54497a4e5755755a47396a&fich=5ec04f2c-180c-4673-bba6-b6b504f5235e.doc&Inline=true,,,,121401,PSD,,Votação na generalidade,G,Grupos Parlamentares,PSD,Rejeitado,9,RP,A Favor,A Favor,A Favor,Contra,Contra,Abstenção,Contra,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
25,92828,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Política orçamental de crescimento da despesa e investimento público,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4e6d52694d6d45794e6930304e6a45314c54526a597a5974595441315a5330334d474979597a64694d54686a5a5467755a47396a65413d3d&fich=e6db2a26-4615-4cc6-a05e-70b2c7b18ce8.docx&Inline=true,,,,121399,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,9,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,A Favor,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
2,92879,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,A Favor,2022-04-22,Proposta de alteração do PSD – emenda do n.º 7 do artigo 58.º da Lei de Enquadramento Orçamental,,,,,,,,,,,,2022,l15
24,92827,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Desenvolver o País, valorizar o trabalho e os trabalhadores, promover a produção nacional, romper com a dependência externa",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338344d325a6d5a6a51344e69316b4f474e694c54526a4e474974596a41784e69316b4e5751794d5441354e6d4e6b5a6a67755a47396a65413d3d&fich=83fff486-d8cb-4c4b-b016-d5d21096cdf8.docx&Inline=true,,,,121398,PCP,,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,9,RP,Contra,Contra,Abstenção,A Favor,Contra,Abstenção,A Favor,Contra,2022-04-22,,,,,,,,,,,,,2022,l15
2,92880,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Abstenção,A Favor,A Favor,Abstenção,Abstenção,2022-04-22,"N.º 8 do artigo 58.º da Lei de Enquadramento Orçamental, constante do artigo 2.º",,,,,,,,,,,,2022,l15
2,92881,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Rejeitado,9,RP,Contra,A Favor,A Favor,A Favor,Contra,Abstenção,Abstenção,A Favor,2022-04-22,Proposta de alteração do CH – emenda do n.º 4 do artigo 71.º da Lei de Enquadramento Orçamental,,,,,,,,,,,,2022,l15
27,92830,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Pela Rejeição do Programa de Estabilidade 2022 - 2026,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533835597a526c59325a684e79316d4d3251354c5451305a574d744f5445354e43316b595752684e474a69596d4d344f5459755a47396a65413d3d&fich=9c4ecfa7-f3d9-44ec-9194-dada4bbbc896.docx&Inline=true,,,,121402,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,9,RP,Abstenção,A Favor,Abstenção,Abstenção,Contra,Contra,Abstenção,Contra,2022-04-22,,,,,,,,,,,,,2022,l15
2,92882,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Rejeitado,9,RP,Contra,A Favor,A Favor,A Favor,Contra,Abstenção,Abstenção,A Favor,2022-04-22,"Proposta de alteração do CH – aditamento de um n.º 4 ao artigo 74.º da Lei de Enquadramento Orçamental;
Proposta de alteração do CH – emenda do n.º 3 do artigo 75.º da Lei de Enquadramento Orçamental.",,,,,,,,,,,,2022,l15
